frequency_hz,radial_spacing_km,attenuation_db_per_mm,phase_velocity_fraction_c,attenuation_error_db_per_mm,phase_velocity_error_fraction_c,beta_real_rad_per_m,beta_imag_rad_per_m,eigen_residual
71.2076822917,0.625,1.42429108506,0.784134998383,0.000361118409095,-1.30657116226e-05,1.90324710367e-06,-1.63977571028e-07,7.74085643445e-09
81.3802083333,0.625,1.61143237667,0.78977276977,0.000402749638217,-1.17887171239e-05,2.15961237269e-06,-1.85523008445e-07,5.9640855193e-09
91.552734375,0.625,1.79724913012,0.794757834029,0.000443452260381,-1.06370366014e-05,2.41432464545e-06,-2.06915952771e-07,4.67087872782e-09
101.725260417,0.625,1.98198089964,0.79922631429,0.000483061158509,-9.58150963171e-06,2.66758459824e-06,-2.28183983705e-07,4.20439658596e-09
111.897786458,0.625,2.16581996267,0.803275598606,0.000521453052751,-8.60826988269e-06,2.91955113691e-06,-2.49349238008e-07,3.36554740255e-09
122.0703125,0.625,2.34892478138,0.806977808321,0.000558635378921,-7.70774141745e-06,3.17035306477e-06,-2.70429959309e-07,2.57860288836e-09
132.242838542,0.625,2.53142874646,0.810387862115,0.000594714666417,-6.8713186584e-06,3.42009681787e-06,-2.91441504778e-07,2.02644135807e-09
142.415364583,0.625,2.71344607005,0.813548569874,0.000629818381437,-6.09006083718e-06,3.66887170557e-06,-3.12397023577e-07,2.436582038e-09
152.587890625,0.625,2.89507594835,0.816493954878,0.000664048712213,-5.35512377842e-06,3.91675368894e-06,-3.33307936088e-07,1.76415738123e-09
162.760416667,0.625,3.07640557686,0.819251512756,0.000697456029747,-4.65869442867e-06,4.16380810691e-06,-3.54184281064e-07,1.80305424026e-09
172.932942708,0.625,3.25751242759,0.821843788278,0.000730039654576,-3.99448832744e-06,4.41009170205e-06,-3.75034977801e-07,1.26040058038e-09
183.10546875,0.625,3.43846596933,0.824289499272,0.000761760583518,-3.35760443004e-06,4.65565417867e-06,-3.95868024188e-07,1.33242300039e-09
193.277994792,0.625,3.61932901224,0.826604359649,0.000792562283394,-2.74453938764e-06,4.90053939964e-06,-4.16690651512e-07,1.09247609802e-09
203.450520833,0.625,3.80015877549,0.828801693767,0.000822381134521,-2.15279677085e-06,5.1447863163e-06,-4.37509447372e-07,8.36854957774e-10
213.623046875,0.625,3.98100770265,0.830892898026,0.000851160469847,-1.58071738632e-06,5.3884297294e-06,-4.58330449561e-07,7.94874149323e-10
223.795572917,0.625,4.16192415071,0.832887799303,0.000878857094385,-1.02695423221e-06,5.63150087953e-06,-4.7915922538e-07,7.65508973386e-10
233.968098958,0.625,4.34295293155,0.834794930693,0.000905439152048,-4.90620189364e-07,5.87402794948e-06,-5.00000933988e-07,8.53743480317e-10
